OBJECTID;Id;POINT_X;POINT_Y;POINT_Z;POINT_M;RASTERVALU
1;0;853646,789100000052713;987574,588800000026822;2248,857080260000203;nan;-4,0105910
2;0;853711,789100000052713;987574,588800000026822;2298,202236239999820;nan;-4,1459813
3;0;853776,789100000052713;987574,588800000026822;2331,124317650000194;nan;-4,4705853
4;0;853841,789100000052713;987574,588800000026822;2369,590613639999901;nan;-4,7726245
5;0;853906,789100000052713;987574,588800000026822;2412,415244180000172;nan;-5,1250033
6;0;853971,789100000052713;987574,588800000026822;2460,793171079999865;nan;-5,4131937
7;0;854036,789100000052713;987574,588800000026822;2495,245813449999787;nan;-5,7171016
8;0;854101,789100000052713;987574,588800000026822;2525,622900230000141;nan;-5,9775939
9;0;854166,789100000052713;987574,588800000026822;2583,997372270000142;nan;-6,2815018
10;0;854231,789100000052713;987574,588800000026822;2630,885930720000033;nan;-6,4528322
11;0;854296,789100000052713;987574,588800000026822;2676,544595209999898;nan;-6,6319132
12;0;854361,789100000052713;987574,588800000026822;2702,567137080000066;nan;-6,7854109
13;0;854426,789100000052713;987574,588800000026822;2694,575775539999995;nan;-6,9314303
14;0;854491,789100000052713;987574,588800000026822;2675,765754550000111;nan;-6,9857450
15;0;854556,789100000052713;987574,588800000026822;2653,281720689999929;nan;-7,0491118
16;0;854621,789100000052713;987574,588800000026822;2628,324507910000193;nan;-7,1034260
17;0;854686,789100000052713;987574,588800000026822;2606,510909709999851;nan;-7,1278648
18;0;854751,789100000052713;987574,588800000026822;2586,872338050000053;nan;-7,1354651
19;0;854816,789100000052713;987574,588800000026822;2584,242110549999779;nan;-7,1443324
20;0;854881,789100000052713;987574,588800000026822;2590,346071070000107;nan;-7,1196046
21;0;854946,789100000052713;987574,588800000026822;2571,790617499999826;nan;-6,9021740
22;0;855011,789100000052713;987574,588800000026822;2530,250478620000194;nan;-6,7158051
23;0;855076,789100000052713;987574,588800000026822;2491,535857639999904;nan;-6,4983749
24;0;855141,789100000052713;987574,588800000026822;2456,193481480000173;nan;-6,0563073
25;0;855206,789100000052713;987574,588800000026822;2450,951414229999955;nan;-5,3914042
26;0;855271,789100000052713;987574,588800000026822;2453,273688249999850;nan;-4,8214874
27;0;855336,789100000052713;987574,588800000026822;2457,788628780000181;nan;-4,1268830
28;0;855401,789100000052713;987574,588800000026822;2472,038299389999793;nan;-3,3787587
29;0;855466,789100000052713;987574,588800000026822;2490,865291699999943;nan;-2,5059471
30;0;855531,789100000052713;987574,588800000026822;2532,701480969999920;nan;-1,7578230
31;0;853646,789100000052713;987640,588800000026822;2248,739328560000104;nan;-4,1062956
32;0;853711,789100000052713;987640,588800000026822;2299,584217380000155;nan;-4,2770486
33;0;853776,789100000052713;987640,588800000026822;2341,233217139999851;nan;-4,6224551
34;0;853841,789100000052713;987640,588800000026822;2381,759754340000200;nan;-4,9394031
35;0;853906,789100000052713;987640,588800000026822;2414,160221009999987;nan;-5,3091760
36;0;853971,789100000052713;987640,588800000026822;2468,888787970000067;nan;-5,6129866
37;0;854036,789100000052713;987640,588800000026822;2504,990191679999953;nan;-5,9367785
38;0;854101,789100000052713;987640,588800000026822;2546,735100559999864;nan;-6,2143140
39;0;854166,789100000052713;987640,588800000026822;2592,223925169999802;nan;-6,5381060
40;0;854231,789100000052713;987640,588800000026822;2638,134303549999913;nan;-6,7170701
41;0;854296,789100000052713;987640,588800000026822;2702,513045119999788;nan;-6,9028621
42;0;854361,789100000052713;987640,588800000026822;2737,035516760000064;nan;-7,0621123
43;0;854426,789100000052713;987640,588800000026822;2732,402116700000079;nan;-7,2122593
44;0;854491,789100000052713;987640,588800000026822;2708,553861949999828;nan;-7,2645760
45;0;854556,789100000052713;987640,588800000026822;2674,504471449999983;nan;-7,3256116
