X Y Z Density
856587.437500 988099.937500 -4612.500000 -0.200000
856705.562500 988099.937500 -4612.500000 -0.200000
856823.687500 988099.937500 -4612.500000 -0.200000
856941.812500 988099.937500 -4612.500000 -0.200000
857059.937500 988099.937500 -4612.500000 -0.200000
857178.062500 988099.937500 -4612.500000 -0.200000
857296.187500 988099.937500 -4612.500000 -0.200000
856233.062500 988224.812500 -4612.500000 -0.200000
856351.187500 988224.812500 -4612.500000 -0.200000
856469.312500 988224.812500 -4612.500000 -0.200000
856587.437500 988224.812500 -4612.500000 -0.200000
856705.562500 988224.812500 -4612.500000 -0.200000
856823.687500 988224.812500 -4612.500000 -0.200000
856941.812500 988224.812500 -4612.500000 -0.200000
857059.937500 988224.812500 -4612.500000 -0.200000
857178.062500 988224.812500 -4612.500000 -0.200000
857296.187500 988224.812500 -4612.500000 -0.200000
857414.312500 988224.812500 -4612.500000 -0.200000
857532.437500 988224.812500 -4612.500000 -0.200000
857650.562500 988224.812500 -4612.500000 -0.200000
855878.687500 988349.687500 -4612.500000 -0.200000
855996.812500 988349.687500 -4612.500000 -0.200000
856114.937500 988349.687500 -4612.500000 -0.200000
856233.062500 988349.687500 -4612.500000 -0.200000
856351.187500 988349.687500 -4612.500000 -0.200000
856469.312500 988349.687500 -4612.500000 -0.200000
856587.437500 988349.687500 -4612.500000 -0.200000
856705.562500 988349.687500 -4612.500000 -0.200000
856823.687500 988349.687500 -4612.500000 -0.200000
856941.812500 988349.687500 -4612.500000 -0.200000
857059.937500 988349.687500 -4612.500000 -0.200000
857178.062500 988349.687500 -4612.500000 -0.200000
857296.187500 988349.687500 -4612.500000 -0.200000
857414.312500 988349.687500 -4612.500000 -0.200000
857532.437500 988349.687500 -4612.500000 -0.200000
857650.562500 988349.687500 -4612.500000 -0.200000
857768.687500 988349.687500 -4612.500000 -0.200000
855760.562500 988474.562500 -4612.500000 -0.200000
855878.687500 988474.562500 -4612.500000 -0.200000
855996.812500 988474.562500 -4612.500000 -0.200000
856114.937500 988474.562500 -4612.500000 -0.200000
856233.062500 988474.562500 -4612.500000 -0.200000
856351.187500 988474.562500 -4612.500000 -0.200000
856469.312500 988474.562500 -4612.500000 -0.200000
856587.437500 988474.562500 -4612.500000 -0.200000
856705.562500 988474.562500 -4612.500000 -0.200000
856823.687500 988474.562500 -4612.500000 -0.200000
856941.812500 988474.562500 -4612.500000 -0.200000
857059.937500 988474.562500 -4612.500000 -0.200000
857178.062500 988474.562500 -4612.500000 -0.200000
857296.187500 988474.562500 -4612.500000 -0.200000
857414.312500 988474.562500 -4612.500000 -0.200000
857532.437500 988474.562500 -4612.500000 -0.200000
857650.562500 988474.562500 -4612.500000 -0.200000
857768.687500 988474.562500 -4612.500000 -0.200000
855642.437500 988599.437500 -4612.500000 -0.200000
855760.562500 988599.437500 -4612.500000 -0.200000
855878.687500 988599.437500 -4612.500000 -0.200000
855996.812500 988599.437500 -4612.500000 -0.200000
856114.937500 988599.437500 -4612.500000 -0.200000
856233.062500 988599.437500 -4612.500000 -0.200000
856351.187500 988599.437500 -4612.500000 -0.200000
856469.312500 988599.437500 -4612.500000 -0.200000
856587.437500 988599.437500 -4612.500000 -0.200000
856705.562500 988599.437500 -4612.500000 -0.200000
856823.687500 988599.437500 -4612.500000 -0.200000
856941.812500 988599.437500 -4612.500000 -0.200000
857059.937500 988599.437500 -4612.500000 -0.200000
857178.062500 988599.437500 -4612.500000 -0.200000
857296.187500 988599.437500 -4612.500000 -0.200000
857414.312500 988599.437500 -4612.500000 -0.200000
857532.437500 988599.437500 -4612.500000 -0.200000
857650.562500 988599.437500 -4612.500000 -0.200000
857768.687500 988599.437500 -4612.500000 -0.200000
855524.312500 988724.312500 -4612.500000 -0.200000
855642.437500 988724.312500 -4612.500000 -0.200000
855760.562500 988724.312500 -4612.500000 -0.200000
855878.687500 988724.312500 -4612.500000 -0.200000
855996.812500 988724.312500 -4612.500000 -0.200000
856114.937500 988724.312500 -4612.500000 -0.200000
856233.062500 988724.312500 -4612.500000 -0.200000
856351.187500 988724.312500 -4612.500000 -0.200000
856469.312500 988724.312500 -4612.500000 -0.200000
856587.437500 988724.312500 -4612.500000 -0.200000
856705.562500 988724.312500 -4612.500000 -0.200000
856823.687500 988724.312500 -4612.500000 -0.200000
856941.812500 988724.312500 -4612.500000 -0.200000
857059.937500 988724.312500 -4612.500000 -0.200000
857178.062500 988724.312500 -4612.500000 -0.200000
857296.187500 988724.312500 -4612.500000 -0.200000
857414.312500 988724.312500 -4612.500000 -0.200000
857532.437500 988724.312500 -4612.500000 -0.200000
857650.562500 988724.312500 -4612.500000 -0.200000
857768.687500 988724.312500 -4612.500000 -0.200000
855524.312500 988849.187500 -4612.500000 -0.200000
855642.437500 988849.187500 -4612.500000 -0.200000
855760.562500 988849.187500 -4612.500000 -0.200000
855878.687500 988849.187500 -4612.500000 -0.200000
855996.812500 988849.187500 -4612.500000 -0.200000
856114.937500 988849.187500 -4612.500000 -0.200000
856233.062500 988849.187500 -4612.500000 -0.200000
856351.187500 988849.187500 -4612.500000 -0.200000
856469.312500 988849.187500 -4612.500000 -0.200000
856587.437500 988849.187500 -4612.500000 -0.200000
856705.562500 988849.187500 -4612.500000 -0.200000
856823.687500 988849.187500 -4612.500000 -0.200000
856941.812500 988849.187500 -4612.500000 -0.200000
857059.937500 988849.187500 -4612.500000 -0.200000
857178.062500 988849.187500 -4612.500000 -0.200000
857296.187500 988849.187500 -4612.500000 -0.200000
857414.312500 988849.187500 -4612.500000 -0.200000
857532.437500 988849.187500 -4612.500000 -0.200000
857650.562500 988849.187500 -4612.500000 -0.200000
857768.687500 988849.187500 -4612.500000 -0.200000
855406.187500 988974.062500 -4612.500000 -0.200000
855524.312500 988974.062500 -4612.500000 -0.200000
855642.437500 988974.062500 -4612.500000 -0.200000
855760.562500 988974.062500 -4612.500000 -0.200000
855878.687500 988974.062500 -4612.500000 -0.200000
855996.812500 988974.062500 -4612.500000 -0.200000
856114.937500 988974.062500 -4612.500000 -0.200000
856233.062500 988974.062500 -4612.500000 -0.200000
856351.187500 988974.062500 -4612.500000 -0.200000
856469.312500 988974.062500 -4612.500000 -0.200000
856587.437500 988974.062500 -4612.500000 -0.200000
856705.562500 988974.062500 -4612.500000 -0.200000
856823.687500 988974.062500 -4612.500000 -0.200000
856941.812500 988974.062500 -4612.500000 -0.200000
857059.937500 988974.062500 -4612.500000 -0.200000
857178.062500 988974.062500 -4612.500000 -0.200000
857296.187500 988974.062500 -4612.500000 -0.200000
857414.312500 988974.062500 -4612.500000 -0.200000
857532.437500 988974.062500 -4612.500000 -0.200000
857650.562500 988974.062500 -4612.500000 -0.200000
855406.187500 989098.937500 -4612.500000 -0.200000
855524.312500 989098.937500 -4612.500000 -0.200000
855642.437500 989098.937500 -4612.500000 -0.200000
855760.562500 989098.937500 -4612.500000 -0.200000
855878.687500 989098.937500 -4612.500000 -0.200000
855996.812500 989098.937500 -4612.500000 -0.200000
856114.937500 989098.937500 -4612.500000 -0.200000
856233.062500 989098.937500 -4612.500000 -0.200000
856351.187500 989098.937500 -4612.500000 -0.200000
856469.312500 989098.937500 -4612.500000 -0.200000
856587.437500 989098.937500 -4612.500000 -0.200000
856705.562500 989098.937500 -4612.500000 -0.200000
856823.687500 989098.937500 -4612.500000 -0.200000
856941.812500 989098.937500 -4612.500000 -0.200000
857059.937500 989098.937500 -4612.500000 -0.200000
857178.062500 989098.937500 -4612.500000 -0.200000
857296.187500 989098.937500 -4612.500000 -0.200000
857414.312500 989098.937500 -4612.500000 -0.200000
