X,Y,Z,Anomaly
854539.6838368422,988304.0624842106,2505.933415421579,-5.667851352014972
854440.4733105263,988512.4835368422,2533.9549806284213,-5.464397247083182
855333.3680473685,988199.8519578947,2505.933415421579,-5.144278115585103
854341.2627842106,987730.9045894737,2702.0843718694737,-6.177091751691641
854043.6312052632,988512.4835368422,2421.868719801053,-5.111624948305563
854638.8943631579,987939.3256421053,2674.062806662632,-7.232935202605258
854440.4733105263,987783.0098526316,2618.0196762489477,-6.67062430233342
854440.4733105263,987939.3256421053,2730.105937076316,-6.8130579346003755
854638.8943631579,988460.3782736842,2533.9549806284213,-5.817714147021951
854539.6838368422,988512.4835368422,2618.0196762489477,-6.582129786509523
854738.1048894738,988199.8519578947,2618.0196762489477,-7.108290897555508
854341.2627842106,987991.4309052632,2702.0843718694737,-6.826883158490848
854837.3154157895,987939.3256421053,2505.933415421579,-5.728864372878939
854936.5259421053,987939.3256421053,2533.9549806284213,-6.040769994617239
854738.1048894738,987574.5888,2561.976545835263,-5.442175126309256
855432.5785736842,988304.0624842106,2561.976545835263,-4.67258623617705
854043.6312052632,988199.8519578947,2449.890285007895,-6.028703451769481
854539.6838368422,988356.1677473685,2674.062806662632,-6.926924992081794
855234.1575210526,988251.9572210526,2505.933415421579,-5.252543419009236
853944.4206789475,987626.6940631579,2337.8040241805265,-4.212240817947616
854936.5259421053,987678.7993263159,2618.0196762489477,-5.786664471613206
854638.8943631579,988147.7466947369,2477.911850214737,-5.46288733856999
854936.5259421053,987887.2203789474,2589.9981110421054,-6.520309720783315
854638.8943631579,987991.4309052632,2730.105937076316,-6.907727537547684
854242.0522578948,988460.3782736842,2477.911850214737,-5.662522764281008
854341.2627842106,987626.6940631579,2702.0843718694737,-5.523275884098746
854440.4733105263,988043.536168421,2758.127502283158,-6.930192383294223
854440.4733105263,987574.5888,2646.0412414557895,-5.345571094064626
854341.2627842106,988304.0624842106,2589.9981110421054,-6.648082756159516
854837.3154157895,988460.3782736842,2505.933415421579,-5.125332106010222
854242.0522578948,987939.3256421053,2618.0196762489477,-6.827833585894619
854738.1048894738,988199.8519578947,2449.890285007895,-4.59280189594421
854638.8943631579,987835.1151157895,2561.976545835263,-6.412364200549087
854837.3154157895,987991.4309052632,2730.105937076316,-6.480770133750135
853944.4206789475,988251.9572210526,2421.868719801053,-5.869292054089654
854341.2627842106,987991.4309052632,2589.9981110421054,-6.589143085205767
854936.5259421053,988043.536168421,2646.0412414557895,-7.327619840611419
854738.1048894738,988095.641431579,2449.890285007895,-4.823473796825689
854539.6838368422,988043.536168421,2505.933415421579,-5.822559585321815
853944.4206789475,988408.2730105263,2421.868719801053,-5.828875218229564
855134.9469947369,987783.0098526316,2589.9981110421054,-6.056138117821198
854440.4733105263,988199.8519578947,2421.868719801053,-4.483241903195869
854638.8943631579,988043.536168421,2702.0843718694737,-7.16872661889546
854539.6838368422,987783.0098526316,2393.8471545942107,-4.786141695605062
854440.4733105263,987991.4309052632,2421.868719801053,-4.9710991701464025
854539.6838368422,988251.9572210526,2561.976545835263,-6.301366923544597
854539.6838368422,987626.6940631579,2505.933415421579,-5.498662534835178
855234.1575210526,988304.0624842106,2533.9549806284213,-5.499230867825796
855134.9469947369,988251.9572210526,2674.062806662632,-6.010363096836606
854142.841731579,987678.7993263159,2561.976545835263,-5.585768596786652
855134.9469947369,987887.2203789474,2561.976545835263,-6.44658796706609
855234.1575210526,987991.4309052632,2505.933415421579,-5.5618991574108705
854341.2627842106,988095.641431579,2393.8471545942107,-4.213152248558504
855234.1575210526,988304.0624842106,2561.976545835263,-5.7896058899049025
854539.6838368422,987678.7993263159,2561.976545835263,-6.4154993207818345
854242.0522578948,987626.6940631579,2505.933415421579,-5.491533468765356
854341.2627842106,987574.5888,2674.062806662632,-5.446730282050584
855035.7364684211,987991.4309052632,2505.933415421579,-5.6360588780042296
854638.8943631579,988408.2730105263,2646.0412414557895,-7.103585017954287
854936.5259421053,988043.536168421,2505.933415421579,-5.545276192138033
854738.1048894738,988304.0624842106,2449.890285007895,-4.563450511927903
854638.8943631579,988356.1677473685,2477.911850214737,-4.943399288193006
854341.2627842106,987574.5888,2477.911850214737,-5.13158114909628
853745.9996263159,988095.641431579,2393.8471545942107,-5.490248108871186
854440.4733105263,988304.0624842106,2646.0412414557895,-7.002189850008036
854638.8943631579,988147.7466947369,2618.0196762489477,-7.088486149587038
854242.0522578948,987626.6940631579,2618.0196762489477,-5.752238475736819
854837.3154157895,987574.5888,2561.976545835263,-5.352057736594842
854341.2627842106,988043.536168421,2421.868719801053,-5.1235558342180045
854837.3154157895,988251.9572210526,2561.976545835263,-6.207385526604431
855234.1575210526,987730.9045894737,2505.933415421579,-5.3631309307662685
854837.3154157895,988147.7466947369,2646.0412414557895,-7.055140569389078
853745.9996263159,987574.5888,2281.7608937668424,-3.3680033809527625
854341.2627842106,988147.7466947369,2589.9981110421054,-6.6199681911475015
853845.2101526316,987678.7993263159,2281.7608937668424,-3.6076093543961436
854539.6838368422,987783.0098526316,2449.890285007895,-5.825031137693324
854936.5259421053,987835.1151157895,2561.976545835263,-6.347483533535167
854738.1048894738,987730.9045894737,2674.062806662632,-6.105384238483806
854738.1048894738,987835.1151157895,2505.933415421579,-5.838874819247429
854242.0522578948,987678.7993263159,2337.8040241805265,-4.273401410617183
854539.6838368422,987730.9045894737,2730.105937076316,-6.230269507792182
855234.1575210526,987887.2203789474,2505.933415421579,-5.668841754628009
854142.841731579,987991.4309052632,2533.9549806284213,-6.19683502130659
855234.1575210526,987678.7993263159,2533.9549806284213,-5.052385633170949
854440.4733105263,988251.9572210526,2505.933415421579,-5.835767035499155
854242.0522578948,988251.9572210526,2393.8471545942107,-4.384410651016086
854638.8943631579,988251.9572210526,2561.976545835263,-6.327501579176841
853845.2101526316,988147.7466947369,2421.868719801053,-6.041815874172512
854440.4733105263,987939.3256421053,2393.8471545942107,-4.545712450138965
853944.4206789475,987887.2203789474,2449.890285007895,-6.3055646698125125
854738.1048894738,987939.3256421053,2449.890285007895,-5.071702706799934
