X,Y,Z,azimuth,dip,polarity,formation
853699.0237,988145.9441,859.6933395,90,50,1,Complejo_Dacitico
853875.7828,988145.9441,465.2033165,90,38,1,Complejo_Dacitico
854173.093,988145.9441,450.0687689,90,17,1,Complejo_Dacitico
854502.901,988145.9441,307.7546597,90,4.3,1,Complejo_Dacitico
854745.4357,988145.9441,316.9880699,90,8,1,Complejo_Dacitico
855018.7896,988145.9441,69.6802848,90,8.4,1,Complejo_Dacitico
855114.0898,988145.9441,189.1414474,270,16,1,Complejo_Dacitico
855187.4695,988145.9441,284.854162,270,24,1,Complejo_Dacitico
855424.0271,988145.9441,230.3390483,270,20,1,Complejo_Dacitico
855545.1618,988145.9441,461.8542866,270,20,1,Complejo_Dacitico
854890.7218,987618.6724,180.2366543,0,15,1,Complejo_Dacitico
854890.7218,987832.3158,15.89850628,0,2,1,Complejo_Dacitico
854890.7218,987982.4176,71.27303174,0,2,1,Complejo_Dacitico
854890.7218,988226.6561,59.25664775,0,1,1,Complejo_Dacitico
854890.7218,988423.3174,173.0186127,180,15,1,Complejo_Dacitico
854890.7218,988451.5344,441.5266323,180,16,1,Complejo_Dacitico
854890.7218,988495.0826,789.913229,180,16,1,Complejo_Dacitico
854890.7218,988582.3274,1130.121428,180,15,1,Complejo_Dacitico
854447.3384,988145.9441,291.7047142,270,2,-1,Edificio_Volcanico
854669.5889,988145.9441,290.3540585,270,9,-1,Edificio_Volcanico
854796.2475,988145.9441,233.4488479,90,19,-1,Edificio_Volcanico
854947.4019,988145.9441,39.15146155,90,4,-1,Edificio_Volcanico
855041.8667,988145.9441,86.20844248,270,15,-1,Edificio_Volcanico
855123.7791,988145.9441,6.595112228,90,87.5,-1,Edificio_Volcanico
855138.663,988145.9441,-273.8193141,90,87.5,-1,Edificio_Volcanico
855141.9691,988145.9441,-397.7911153,90,87,-1,Edificio_Volcanico
855146.8982,988145.9441,-704.6228367,90,87,-1,Edificio_Volcanico
855142.4991,988145.9441,-838.3545954,270,87,1,Edificio_Volcanico
855132.2891,988145.9441,-1148.737144,270,86.5,1,Edificio_Volcanico
855116.7098,988145.9441,-1424.775111,270,86,1,Edificio_Volcanico
855104.5003,988145.9441,-1627.409311,270,86,1,Edificio_Volcanico
855083.0077,988145.9441,-1984.110844,270,86,1,Edificio_Volcanico
855055.0591,988145.9441,-2447.959635,270,84,1,Edificio_Volcanico
855036.5554,988145.9441,-2755.057198,270,82,1,Edificio_Volcanico
855009.633,988145.9441,-3201.873201,270,79,1,Edificio_Volcanico
854993.446,988145.9441,-3470.521112,270,77,1,Edificio_Volcanico
854961.7967,988145.9441,-3995.787954,270,76,1,Edificio_Volcanico
854943.5442,988145.9441,-4236.923937,270,71,1,Edificio_Volcanico
854838.9256,988145.9441,-4750.325416,270,59,1,Edificio_Volcanico
854554.7341,988145.9441,-4880.684364,90,59,1,Edificio_Volcanico
854437.9741,988145.9441,-4886.69383,270,52,1,Edificio_Volcanico
854277.3158,988145.9441,-4783.419713,90,79,1,Edificio_Volcanico
854253.0272,988145.9441,-4288.236344,90,86,1,Edificio_Volcanico
854250.4324,988145.9441,-3897.710647,90,87,1,Edificio_Volcanico
854249.2165,988145.9441,-3557.611062,90,88,1,Edificio_Volcanico
854258.4147,988145.9441,-3231.995162,270,86,-1,Edificio_Volcanico
854290.5633,988145.9441,-2847.407043,270,83,-1,Edificio_Volcanico
854320.2717,988145.9441,-2324.294334,270,87,-1,Edificio_Volcanico
854331.4678,988145.9441,-1783.524554,270,86,-1,Edificio_Volcanico
854342.996,988145.9441,-1201.350818,270,86,-1,Edificio_Volcanico
854346.7966,988145.9441,-774.9979874,270,86,-1,Edificio_Volcanico
854344.9525,988145.9441,-560.4754679,270,87,-1,Edificio_Volcanico
854341.4949,988145.9441,-247.6394937,270,88,-1,Edificio_Volcanico
854337.5717,988145.9441,112.1697902,270,88,-1,Edificio_Volcanico
854890.7218,987982.4176,71.27303174,0,3,-1,Edificio_Volcanico
854890.7218,988104.8426,50.24857044,0,2,-1,Edificio_Volcanico
854890.7218,988266.454,49.59163473,0,4,-1,Edificio_Volcanico
854890.7218,988328.2601,28.98902633,0,4,-1,Edificio_Volcanico
854890.7218,988360.5493,-37.39217456,180,89,1,Edificio_Volcanico
854890.7218,988357.6799,-177.5338016,180,89,1,Edificio_Volcanico
854890.7218,988360.1096,-340.2073901,180,89,1,Edificio_Volcanico
854890.7218,988356.6649,-559.5243321,180,89,1,Edificio_Volcanico
854890.7218,988353.0214,-935.6793249,180,89,1,Edificio_Volcanico
854890.7218,988352.7259,-1149.313805,180,89,1,Edificio_Volcanico
854890.7218,988350.0548,-1365.510125,180,89,1,Edificio_Volcanico
854890.7218,988340.3049,-1607.800853,180,86,1,Edificio_Volcanico
854890.7218,988331.0172,-1768.035134,180,86,1,Edificio_Volcanico
854890.7218,988313.8106,-2064.887861,180,85.5,1,Edificio_Volcanico
854890.7218,988301.6132,-2275.320745,180,83,1,Edificio_Volcanico
854890.7218,988281.0332,-2578.758995,180,79,1,Edificio_Volcanico
854890.7218,988239.1334,-2985.434186,180,76,1,Edificio_Volcanico
854890.7218,988202.0909,-3310.777268,180,76,1,Edificio_Volcanico
854890.7218,988188.701,-3514.833192,180,86,1,Edificio_Volcanico
854890.7218,988171.0477,-3879.937092,180,86,1,Edificio_Volcanico
854890.7218,988130.2213,-4724.301374,180,86,1,Edificio_Volcanico
854890.7218,988090.2751,-4855.209588,180,66,1,Edificio_Volcanico
854890.7218,987940.9229,-4926.396143,0,66,1,Edificio_Volcanico
854890.7218,987828.5163,-4651.20742,0,74,1,Edificio_Volcanico
854890.7218,987769.2208,-4196.403256,0,81,1,Edificio_Volcanico
