X,Y,Z,azimuth,dip,polarity,formation
854890.7218,987687.5012,13.42413958,0,18,1,Complejo_Dacitico
854890.7218,988481.4503,631.9281979,180,87,1,Complejo_Dacitico
853877.1269,988145.9441,464.0204991,90,22,1,Complejo_Dacitico
855433.4836,988145.9441,235.0673006,270,3,1,Complejo_Dacitico
854890.7218,988041.5882,54.09384306,0,1,-1,Edificio_Volcanico
854890.7218,988356.6649,-227.1067295,180,87,1,Edificio_Volcanico
854890.7218,988329.6803,-1791.098282,180,82,1,Edificio_Volcanico
854890.7218,988196.013,-3363.60795,180,85,1,Edificio_Volcanico
854890.7218,987883.6898,-4811.930155,0,50,2,Edificio_Volcanico
854890.7218,987760.6392,-2866.711768,180,87,-1,Edificio_Volcanico
854890.7218,987868.3955,-1031.101486,180,87,-1,Edificio_Volcanico
854532.1767,988145.9441,308.6367296,270,1,-1,Edificio_Volcanico
854880.248,988145.9441,85.82018334,90,54,-1,Edificio_Volcanico
855138.2854,988145.9441,-266.7043747,270,89,1,Edificio_Volcanico
855102.9737,988145.9441,-1652.745789,270,88,1,Edificio_Volcanico
855042.489,988145.9441,-2656.57918,270,88,1,Edificio_Volcanico
854950.0478,988145.9441,-4190.779809,270,87,1,Edificio_Volcanico
854533.151,988145.9441,-4852.853537,90,53,1,Edificio_Volcanico
854252.0233,988145.9441,-4137.142152,90,87,1,Edificio_Volcanico
854285.6434,988145.9441,-2880.711002,90,87,1,Edificio_Volcanico
854338.1002,988145.9441,63.70392828,90,87,1,Edificio_Volcanico
854890.7218,987663.921,-416.4715722,0,18,1,Flujo_Piroclastico
854890.7218,988522.9019,507.6990209,180,87,1,Flujo_Piroclastico
853934.0457,988145.9441,103.4162794,90,22,1,Flujo_Piroclastico
855488.5726,988145.9441,-176.1999204,270,3,1,Flujo_Piroclastico
854890.7218,987719.1656,-800.224678,0,18,1,Sucesion_Piroclastica
854890.7218,988522.3001,245.8008532,180,87,1,Sucesion_Piroclastica
854022.6991,988145.9441,-129.337977,90,22,1,Sucesion_Piroclastica
855407.9629,988145.9441,-543.2948428,270,3,1,Sucesion_Piroclastica
854890.7218,987670.4909,-933.8271357,0,18,1,Sucesion_Volcanica
854890.7218,988524.4152,63.55980414,180,87,1,Sucesion_Volcanica
854120.5562,988145.9441,-413.9146493,90,22,1,Sucesion_Volcanica
855438.9987,988145.9441,-799.8730272,270,3,1,Sucesion_Volcanica
