X,Y,Z,formation
854890.7218,987566.0487,246.5484044,Complejo_Dacitico
854890.7218,987602.3419,223.7850551,Complejo_Dacitico
854890.7218,987640.4467,131.244833,Complejo_Dacitico
854890.7218,987687.5012,13.42413958,Complejo_Dacitico
854890.7218,987748.4644,8.167636497,Complejo_Dacitico
854890.7218,987821.7212,7.202820368,Complejo_Dacitico
854890.7218,988386.2118,-15.73075297,Complejo_Dacitico
854890.7218,988402.5424,60.47884176,Complejo_Dacitico
854890.7218,988418.873,153.0188808,Complejo_Dacitico
854890.7218,988440.6472,251.0026455,Complejo_Dacitico
854890.7218,988451.5344,343.3404337,Complejo_Dacitico
854890.7218,988451.5344,441.5266323,Complejo_Dacitico
854890.7218,988481.4503,631.9281979,Complejo_Dacitico
854890.7218,988495.0826,740.0594157,Complejo_Dacitico
854890.7218,988510.5196,848.5736877,Complejo_Dacitico
854890.7218,988528.2266,925.9345157,Complejo_Dacitico
854890.7218,988559.4016,1059.986855,Complejo_Dacitico
854890.7218,988593.712,1164.949484,Complejo_Dacitico
853646.4345,988145.9441,1054.026871,Complejo_Dacitico
853695.8404,988145.9441,871.8199004,Complejo_Dacitico
853763.8558,988145.9441,612.7137811,Complejo_Dacitico
853877.1269,988145.9441,464.0204991,Complejo_Dacitico
854037.9029,988145.9441,418.6299843,Complejo_Dacitico
854186.6094,988145.9441,453.6256952,Complejo_Dacitico
854294.5153,988145.9441,381.1055052,Complejo_Dacitico
855153.6729,988145.9441,240.7716727,Complejo_Dacitico
855294.6821,988145.9441,279.193994,Complejo_Dacitico
855433.4836,988145.9441,235.0673006,Complejo_Dacitico
855501.1525,988145.9441,303.959194,Complejo_Dacitico
855551.6294,988145.9441,485.058522,Complejo_Dacitico
854890.7218,987901.7366,-15.73075297,Edificio_Volcanico
854890.7218,988041.5882,54.09384306,Edificio_Volcanico
854890.7218,988158.4036,44.5146057,Edificio_Volcanico
854890.7218,988331.7764,27.86565568,Edificio_Volcanico
854890.7218,988360.2105,-53.94115823,Edificio_Volcanico
854890.7218,988356.6649,-227.1067295,Edificio_Volcanico
854890.7218,988356.5545,-402.1690214,Edificio_Volcanico
854890.7218,988356.6649,-637.9608349,Edificio_Volcanico
854890.7218,988353.1363,-852.5877814,Edificio_Volcanico
854890.7218,988352.7971,-1097.833588,Edificio_Volcanico
854890.7218,988350.0243,-1367.37848,Edificio_Volcanico
854890.7218,988329.6803,-1791.098282,Edificio_Volcanico
854890.7218,988310.1884,-2127.378444,Edificio_Volcanico
854890.7218,988282.0936,-2568.466351,Edificio_Volcanico
854890.7218,988235.819,-3017.602762,Edificio_Volcanico
854890.7218,988196.013,-3363.60795,Edificio_Volcanico
854890.7218,988171.8469,-3863.40618,Edificio_Volcanico
854890.7218,988112.3563,-4798.591253,Edificio_Volcanico
854890.7218,988025.7823,-5020.575971,Edificio_Volcanico
854890.7218,987883.6898,-4811.930155,Edificio_Volcanico
854890.7218,987805.8018,-4539.616475,Edificio_Volcanico
854890.7218,987752.0116,-3984.731084,Edificio_Volcanico
854890.7218,987741.3071,-3559.554845,Edificio_Volcanico
854890.7218,987760.6392,-2866.711768,Edificio_Volcanico
854890.7218,987797.2135,-2199.596383,Edificio_Volcanico
854890.7218,987816.326,-1850.983744,Edificio_Volcanico
854890.7218,987868.3798,-1226.337564,Edificio_Volcanico
854890.7218,987868.3955,-1031.101486,Edificio_Volcanico
854890.7218,987875.7726,-579.2355493,Edificio_Volcanico
854368.0896,988145.9441,265.8132185,Edificio_Volcanico
854532.1767,988145.9441,308.6367296,Edificio_Volcanico
854701.2293,988145.9441,321.1139583,Edificio_Volcanico
854793.2537,988145.9441,240.3949553,Edificio_Volcanico
854880.248,988145.9441,85.82018334,Edificio_Volcanico
855041.6295,988145.9441,86.03856091,Edificio_Volcanico
855122.7894,988145.9441,25.24062427,Edificio_Volcanico
855138.2854,988145.9441,-266.7043747,Edificio_Volcanico
855145.7242,988145.9441,-631.5420953,Edificio_Volcanico
855134.6451,988145.9441,-1077.115967,Edificio_Volcanico
855102.9737,988145.9441,-1652.745789,Edificio_Volcanico
855074.8844,988145.9441,-2118.929706,Edificio_Volcanico
855042.489,988145.9441,-2656.57918,Edificio_Volcanico
855018.6369,988145.9441,-3052.441569,Edificio_Volcanico
854997.3049,988145.9441,-3406.477341,Edificio_Volcanico
854950.0478,988145.9441,-4190.779809,Edificio_Volcanico
854842.8111,988145.9441,-4742.766307,Edificio_Volcanico
854744.666,988145.9441,-4933.703146,Edificio_Volcanico
854652.8568,988145.9441,-4970.704688,Edificio_Volcanico
854533.151,988145.9441,-4852.853537,Edificio_Volcanico
854448.9664,988145.9441,-4860.058496,Edificio_Volcanico
854351.7015,988145.9441,-5095.738973,Edificio_Volcanico
854302.6249,988145.9441,-5052.495336,Edificio_Volcanico
854275.3998,988145.9441,-4763.049813,Edificio_Volcanico
854252.0233,988145.9441,-4137.142152,Edificio_Volcanico
854250.949,988145.9441,-3975.466018,Edificio_Volcanico
